open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,changeVl
19.31,19.35,19.11,19.01,18099.59,-0.24,-1.24,19.206,19.143,20.079,30687.02,34436.07,69848.27,0.45,-1
19.28,19.65,19.35,19.11,32751.71,-0.03,-0.15,19.144,19.255,20.173,31779.1,43249.1,74563.57,0.82,-1
19.2,19.76,19.38,19.1,25369.62,-0.07,-0.36,19.024,19.467,20.19,29636.53,51135.56,74148.77,0.63,-1
18.87,19.5,19.45,18.75,38565.28,0.71,3.79,18.892,19.613,20.216,32564.74,54147.93,75239.66,0.97,1
18.9,18.92,18.74,18.26,38648.9,-0.06,-0.32,18.928,19.734,20.227,30313.66,57801.68,74410.77,0.97,-1
18.85,19.0,18.8,18.55,23559.97,0.05,0.27,19.08,20.003,20.275,38185.12,61679.75,73416.7,0.59,1
18.88,19.05,18.75,18.7,22038.9,0.03,0.16,19.366,20.264,20.323,54719.11,73599.1,74169.97,0.55,1
19.58,19.58,18.72,18.7,40010.66,-0.91,-4.64,19.91,20.455,20.384,72634.6,80182.86,75464.71,1.0,-1
19.49,19.74,19.63,19.38,27309.89,0.13,0.67,20.334,20.656,20.423,75731.12,92458.68,76179.26,0.68,1
20.07,20.16,19.5,19.21,78006.18,-0.73,-3.61,20.54,20.884,20.436,85289.69,106521.93,76621.6,1.95,-1
21.3,21.53,20.23,20.0,106229.9,-1.24,-5.78,20.926,21.015,20.478,85174.38,105260.47,74207.09,2.66,-1
20.61,21.78,21.47,20.52,111616.35,0.63,3.02,21.162,21.091,20.49,92479.1,105878.03,70155.9,2.79,1
20.67,21.54,20.84,20.43,55493.28,0.18,0.87,21.0,20.912,20.438,87731.13,97161.98,66386.62,1.39,1
21.21,21.42,20.66,20.51,75102.73,-0.77,-3.59,20.978,20.819,20.424,109186.24,96331.39,65465.99,1.88,-1
21.3,21.8,21.43,21.02,77429.64,0.02,0.09,21.228,20.72,20.42,127754.18,91019.87,62905.07,1.94,1
